44,Tanggal Surat,No Surat Masuk,Alamat Pengirim,Perihal,Disposisi/Dintak Lanjut
1,3 Januari 2024,001/SK/LBH/Bdg/I/2024,LBH," CATAHU Tema Politisasi Hukum Berkah untuk Penguasa, Nestapa untuk Rakyat Undangan Presentasi CATAHU",
2,3 Januari 2024,007/KNAKTP/Pemantauan/UPR/I/2024,Komnas Perempuan,Rujukan kasus an Afina Khoirunisa,
3,12 Januari 2024,1/SMHT/SU/I/2024,Samahita,Undangan FGD,
,,,,,
4,15 Januari 2024,B/TU.01.02/113-DP3A/I/2024,DP3A,Rapat Koordinasi Persiapan Pengumpulan Data KLA Klaster V (Lima),
,,,,,
5,24 Januari 2024,6/SMHT/SU/I/2024,Samahita,Talk show,
,,,,,
6,5 Februari 2024,2255/UN6.GI/PT.001.04/2024,Sos Pol UNPAD,Permohonan ijin Penelitian, 
,,,,,
7,5 Februari 2024,049 A II/803/II/2024,PEKKA,Permohonan Untuk Diskusi,
,,,,,
8,15 Februari 2024,06/SK/PAN-PU.DiR/LBH-Bdg/II/2024,LBH,Undangan Pelantikan Pengurus Baru LBH,
,,,,,
9,19 Februari 2024,1352/TU.03/PHA,DP3AKB Propinsi,Undangan Rakor,
,,,,,
10,27 Februari 2024,B/PA.03/286-DP3A/II/2024,DP3A,Bimteknis KLA 2024,
,,,,,
11,1 Maret 2024,B/PA.03/326-4DP3A/II/2024,DP3A,Assistensi Pengisian KLA,
,,,,,
12,5 Maret 2024,B/PA.01.02/755-DP3A/II/2024,DP3A,Data Terpilah,
,,,,,
13,22 Maret 2024,B/TU.01.02/429-DP3A/III/2024,DP3A,Koordinasi Lembaga Penyedia Layanan,
,,,,,
14,17 April 2024,B/PA.01.02/519-DP3A/IV/2024,DP3A,Tindak Lanjut Rapat Kerja Forum Data Terpilah Kota Bandung Tahun 2024,
,,,,,
,,,,,
15,22 April 2024,22/12/TU.0102PPA,DP3AKB,Undangan Kegiatan Pertemuan Koordinasi dan kerjasama Lintas Sektor dalam Pencegahan KtP/A dan TTPo (DAK),
,,,,,
16,28 Mei 2024,24/SEKNAS.FPL/V/2024,FPL,,
17,28 Mei 2024,13926.1.8/DL.01.0205/2024,Politeknik Kesejahteraan Sosial Bandung,Permohonan Ijin Penelitian,
18,10 Juni 2024,B/PA.03/801-DP3A/VI/2024,DP3A,"Pelatihan,Pencatatan dan pelaporan Kasus pada Anak",
,,,,,
19,11 Juni 2024,/B/BP-WSC//,Bilik Pengaduan  WSC UIN,Rujukan Konseling,
,,,,,
20,25 Juni 2024,B/TU.01.02/817.31-DP3A/VI/2024,DP3A,Undangan Rapat  Koordinasi Lembaga Layanan,
,,,,,
21,25 Juni 2024,043/SU/IMJABAR/VI/2024,INTI MUDA JABAR,,
,,,,,
21,26 Juni 2024,B/TU.01.02/852-DP3A/VI/2024,DP3A,Undangan Lanjutan Rapat Koordinasi Lembaga Layanan,
,,,,,
22,2 Juli 2024,289/B/Undangan/Yayasan SAPA/VII/2024,Yayasan SAPA,Undangan  Sosialisasi Undang-Undang TPKS dan Strategi Pengawalan Implementasinya di Provinsi Jawa Barat,
,,,,,
23,4 Juli 2024,8035/U.N6.C/PT.00/2024,UNPAD Fakultas Kedokteran,Permohonan Ijin Penelitian.,
,,,,,
24,9 Juli 2024,21/E-UND/VII/2024,Perkumpulan Studi Aksi Kependudukan,"Undangan Seminar  Luring dan Daring "" Proyeksi Kependudukan Jawa Barat: Tantangan dan Peluang Menghadapi Indonesia Emas ",
,,,,,
25,11 Juli 2024,B/TU.01.02/899-DP3A/VII/2024,DP3A ,Permohonan Narasumber  tentang KDRT ,Bu Turni
26,12 Juli 2024,B/TU.01.02/899-DP3A/VII/2024,DP3A ,Permohonan Narasumber  tentang KDRT di Kelurahan Gumuruh ,Bu  Turni dan Bu Tetty
26,17 Juli 2024,025/STFD/SATGAS-PPKS/KET/VII/2024,Satgas PPKS Sekolah Tinggi Filsafat Driyatkara,Terima  Kasih atas Pemeriksaan  ( ditangani oleh bu Tetty),
,,,,,
27,24 Juli 2024,400 2.3./1294 PP,Dinas  DP2 KB P3 A Kab.Bandung,Undangan Kegiatan Sosialisasi  Pencegahan KtP dan Tindak Perdagangan Orang,
,,,,,
28,27 Juli 2024,B/TU.01.02/2585-DP3A/VII/2024,SETDA Kota Bandung,Deklarasi Zero Bullying,
,,,,,
29,31 Juli 2024,051/SDM/S.Permhn/EXT/VII/2024,SD Santa Melania Bandung,Permohonan sebagai narasumber penyuluhan dan pembinaan terhadap perundungan,
30,31 Juli 2024,052/SDM/S.Permhn/EXT/VII/2024,SD Santa Melania Bandung,"Permohonan sebagai narasumber penyuluhan dan pembinaan tentang rokok, minuman keras dan narkoba",
31,1 Agustus 2024,B-166/D.PHP.2PP04.02/07/2024,Kemen PPA Deputi Perlindungan Hak Perempuan,Sosialisasi Profil Lembaga  Masyarakat Bidang PPH,Dihadiri oleh Reta dan Turni
,,,,,
32,12 Agustus 2024,B/PA.01.02/2801-DP3A/VIII/2024,SETDA Kota Bandung,Undangan Pelatihan Pemanfaatan  Sistem Penyajian dan  Pemanfaatan Data Gender dan Anak,Dihadiri oleh Tifa dan Turni
,,,,,
,,,,,
